code,legacy,title,description,image_url,chef
14,7,煎牛排（厚2cm）,本食谱适用于厚度为 2cm 的牛排，烹饪前请务必先确认厚度！,https://static.ak2.co/recipes/April2018/cNGx3zqEVAvYh1WibBhw.jpg,10
19,7,煎牛排（厚1.5cm）,本食谱适用于厚度为 1.5cm 的牛排，烹饪前请务必先确认厚度！,https://static.ak2.co/recipes/March2018/hGQNYDMGD5LjdRGatqk7.jpg,10
22,7,西班牙海鲜饭,藏红花将海鲜饭中的米饭染成了漂亮的金黄色，与红色的甜椒西红柿，白色的海鲜一起组成了色彩丰富的西班牙海鲜饭。,https://static.ak2.co/recipes/November2017/cover8.jpg,10
24,7,台式三杯鸡,台式三杯鸡是台湾名菜之一，其精髓在于烹饪时不用水，只需酱油、香油、米酒进行焖煮。色彩红润光亮，鸡肉软滑细嫩，酱汁醇厚香浓。,https://static.ak2.co/recipes/November2017/cover10.jpg,14
28,7,寿喜锅,特调酱汁做底，牛肉柔嫩香甜蘸满新鲜生鸡蛋液，搭配多款蔬菜，浓郁丰富。,https://static.ak2.co/recipes/November2017/cover14.jpg,15
29,7,台式三杯鸡,三杯鸡其精髓在于烹饪时不用水，只需酱油、香油、米酒进行焖煮，而九层塔也是其中必不可少的香味来源。,https://static.ak2.co/recipes/January2018/L25UgH1bpKZ3lfQTWGxt.jpg,116
30,7,大盘鸡,辣子干红鲜绿，鸡肉油黄鲜嫩，色彩鲜艳，辣中有香。吃完后皮带面上场，用剩余的汤汁伴着吃，量大味足，特别饱腹。,https://static.ak2.co/recipes/January2018/8C7cWP9xcVaQb2dZdGSp.jpg,115
31,7,干锅花菜,一道很家常的下饭菜，整道菜从备料到盛盘，只需15分钟，快手又下饭。,https://static.ak2.co/recipes/January2018/rTguHeFcv4J0EtEjlZ6E.jpg,113
37,7,手撕椒麻鸡,椒麻香是这道菜主旋律，尤其最后的油泼，会激发藤椒清香而且麻的口感，使这道菜味觉层次更鲜明。,https://static.ak2.co/recipes/January2018/XHC5MrwKRoJieLYgVdP4.jpg,100
40,7,酱油水小海鲜,在厦门，靠海吃海，酱油水烧海鲜这个做法几乎家家都会，简单快捷。,https://static.ak2.co/recipes/January2018/75Pt1GnR0d6kN4psmbTg.jpg,105
41,7,水煮肉片,用滚滚热油浇在撒好辣椒粉和花椒粉的肉片上，只听“嘶啦”一声，马上呛出了麻辣鲜香的味道。,https://static.ak2.co/recipes/January2018/U8s3oQtjSfY1W0BV2a1H.jpg,104
42,7,宫保鸡丁,这道四川名菜，在海外也广受欢迎，甚至可以说是老外最喜欢的中国菜之一。,https://static.ak2.co/recipes/January2018/TFwMBMyGtFauIpmdj2UY.jpg,117
45,7,酱爆茄子,色泽油亮，十分下饭。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/GWxMPSARHF.jpg,109
46,7,手撕包菜,红白相间，麻辣鲜香，爽脆清甜，开胃增食欲。,https://static.ak2.co/recipes/January2018/rND1iHZAKRU6nlIYmrFq.jpg,110
47,7,干烧虾,当你厌倦了清蒸虾或者煮虾之后，试试这道海派风味的干烧虾吧。,https://static.ak2.co/recipes/January2018/QiE6yj948dMDFMdURJ0z.jpg,106
51,7,黑椒牛肉粒,简单又容易制作的一道下饭菜。,https://static.ak2.co/recipes/January2018/k17Xd6aLAMy3TPuLm9ZR.jpg,95
52,7,花雕酒酿焖花蛤,花雕去腥提鲜，酒酿自带甘甜，喝饱了酒的花蛤，焖出来的滋味鲜美到极致。,https://static.ak2.co/recipes/January2018/AVc9NApitppibGpgfxYU.jpg,97
56,7,菠萝糖醋里脊,里脊外酥里嫩，菠萝酸甜开胃。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/AdNw37ck8t.jpg,52
57,7,鱼香茄子,采用多道调料及多道程序加工而成的自制鱼香酱。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/8dNQWHmSPS.jpg,52
58,7,盐煎肉,一道小煎小炒一锅出的老牌川菜。,https://static.ak2.co/recipes/January2018/kCn2ca82Dm3JRIXC1SEQ.jpg,112
59,7,皮蛋瘦肉粥,皮蛋瘦肉粥是粤港澳一带最常见的粥，暖胃养生，绵滑香浓。,https://static.ak2.co/recipes/January2018/LfZeBJJXROK0eDIMEfov.jpg,102
65,7,银耳羹,银耳羹是一道传统药膳，浓甜润滑，美味滋补。,https://static.ak2.co/recipes/January2018/FJ3HHBZ7jEFmo2fTHyfd.jpg,14
66,7,腊味焖饭,焖饭做法既简单又便捷，具有补脾、和胃的功效。,https://static.ak2.co/recipes/December2017/cover10.jpg,14
70,7,酱爆猪肝,酱爆猪肝是一道营养丰富，适合贫血的人食用的特色家常小菜。,https://static.ak2.co/recipes/February2018/wg71BuAPs60cWUjfr1hJ.jpg,14
71,7,清炒虾仁,虾仁中含有许多虾青素，是目前发现的最强的一种抗氧化剂，是对人体十分有益的食材。,https://static.ak2.co/recipes/December2017/cover13.jpg,14
72,7,速冻水饺锅贴,本食谱适用于市售速冻水饺。用一份速冻水饺就能做出好吃的煎饺。,https://static.ak2.co/recipes/hQPKZ3wYn3.jpg,10
73,7,红烧猪蹄,红烧猪蹄是一道比较常见的家常菜，以猪蹄为主要食材，味道可口，营养价值丰富。,https://static.ak2.co/recipes/December2017/cover15.jpg,14
75,7,澳洲西冷牛仔粒炒杏鲍菇,大颗澳洲西冷牛仔粒，脆滑杏鲍菇，独门黑椒酱，高性价比搭配。,https://static.ak2.co/recipes/December2017/cover20.jpg,52
79,7,蚝油牛柳,色泽鲜亮，牛肉滑嫩，蚝油味浓。,https://static.ak2.co/recipes/December2017/cover26.jpg,52
82,7,黄焖鸡,爽滑弹牙，汤汁鲜美。,https://static.ak2.co/recipes/December2017/cover25.jpg,52
86,7,枝竹羊腩煲,枝竹羊腩煲滋阴温阳是适合冬季食用的滋补菜肴。,https://static.ak2.co/recipes/January2018/6ZA3kzbUfnvCiLvzFWr2.jpg,98
92,7,雪菜肉丝毛豆,酸香爽口 ，搭配粥类更佳。,https://static.ak2.co/recipes/December2017/cover35.jpg,52
93,7,茶树菇猪颈肉,鲜美营养的茶树菇搭配肉质紧实的猪颈肉。,https://static.ak2.co/recipes/December2017/cover36.jpg,52
99,7,牛尾炖冬笋,牛尾既有牛肉补中益气之功，又有牛髓填精补髓之效。,https://static.ak2.co/recipes/February2018/sco7GAMASorA4fbthOhy.jpg,30
100,7,红烧桂鱼,据说要品尝桂鱼的独特风味，非红烧不可。,https://static.ak2.co/recipes/December2017/Q1mDikJdYJs8XjJGMuqz.jpg,14
103,7,炒烤肉,炒烤肉是用羊腿肉制作的一道家常菜，色泽红亮，香味浓郁，瘦而不柴。,https://static.ak2.co/recipes/December2017/N0QQeWDZg8QNpg8rORjA.jpg,10
104,7,家常叉烧肉,在保留叉烧肉精髓的同时，对这道粤式烧味做了不少本地化的改良。肉块在慢炖中每一丝肌理和脂肪都饱含了酱汁。,https://static.ak2.co/recipes/January2018/82DSfSGr7BTHkARLsQw6.jpg,120
105,7,蚝油牛肉,蚝油含有多种人体需要的氨基酸和蛋白质，富含营养，荤素皆宜。,https://static.ak2.co/recipes/December2017/NNEhITYiUJEaRqpemW6Y.jpg,14
107,7,五花肉银芽韭菜,豆芽中含有大量的抗酸性物质，具有很好的防老化功能，能起到有效的排毒作用。,https://static.ak2.co/recipes/December2017/JtxMSk7JYQDO0F8tT927.jpg,14
109,7,菌菇芦笋太阳蛋,每天都少不了的美味早餐。,https://static.ak2.co/recipes/December2017/QQVFEexF107oWSvLslqc.jpg,10
113,7,水浴牛排（厚2cm）,用水浴法长时间的低温慢煮 (Sous Vide) 让牛排更香嫩，同时牛排肉汁不流失。,https://static.ak2.co/recipes/April2018/em6htDYR9D3vE9v6hDt6.jpg,10
114,7,意大利奶油意面,意面裹满浓稠的酱汁，搭配满满的芝士和意大利咸肉 (Pancetta) ，使得菌菇、肉香和奶香交错四溢，形成了绝妙的食感。,https://static.ak2.co/recipes/December2017/hOee5pRHLZ0JyfF4mNeY.jpg,59
115,7,柠檬迷迭香烩鸡配时蔬,柠檬降解了鸡肉的油腻，迷迭香赋予了鸡肉特殊的风味。,https://static.ak2.co/recipes/December2017/VrKpCHe9YLaqaIRLW3zH.jpg,59
116,7,西班牙海鲜饭,西班牙海鲜饭源于西班牙鱼米之都——瓦伦西亚。黄澄澄的饭粒出自名贵的香料藏红花，饭中点缀着多种海鲜，热气腾腾，令人垂涎。,https://static.ak2.co/recipes/December2017/VqTOOGD400AiYxLVawVq.jpg,59
118,7,三文鱼菌菇烩饭,生米依次吸收油脂，大蒜，洋葱，高汤和菌菇的香味。米粒熟而不软烂，咬起来有弹性有嚼劲，又有奶油般的口感。,https://static.ak2.co/recipes/December2017/aWZbA0LgNhQjkVOPOF6N.jpg,80
120,7,法式炖蔬菜,"在所有蔬菜加热完成后立刻吃这个炖菜是非常完美可口和新鲜的一餐. 蔬菜互相融合, 慢慢变稠, 完全变软而百里香与蒜头味渗入整锅。",https://static.ak2.co/recipes/December2017/0EGZtBs9SvI61v2AlQcf.jpg,80
121,7,红烧大排,嫩而不柴是妈妈的手艺。,https://static.ak2.co/recipes/December2017/SFXrQbuhmIdHNnBbyDmu.jpg,14
122,7,咸肉炒菜饭,咸肉菜炒饭是一道传统的家庭美食。,https://static.ak2.co/recipes/March2018/bzhLJhov97OkJaDFdHbm.jpg,14
123,7,奶油意面,香浓奶味配上咸味肉丁，回味无穷。,https://static.ak2.co/recipes/December2017/o7eG3G1PK8tC5aQspl8g.jpg,80
129,7,香煎三文鱼（125克）,本食谱适用于重量为 125 克的三文鱼，烹饪前请务必先确认厚度！用火慢煎，经火力层层加热，外熟里嫩，缓缓逼出三文鱼肉本身的香和鲜，口感超乎想象的令人满足。,https://static.ak2.co/recipes/January2018/qlT8qAC98qXsE5PjdhKs.jpg,10
132,7,黑椒牛仔骨,牛仔骨一定要腌够时间，牛肉才更入味。,https://static.ak2.co/recipes/January2018/D9g1zTkr8QmxHIFCXju1.jpg,14
133,7,西西里炖菜,香浓酸甜的口味超级开胃，让不爱吃蔬菜的人也能大口吃蔬菜。,https://static.ak2.co/recipes/January2018/chnZo8aoTI8YCTg06MEf.jpg,53
136,7,经典原味丝袜奶茶,奶茶是具香港特色的一种饮品，是香港人日常下午茶（和早餐）常见的饮品。,https://static.ak2.co/recipes/January2018/lSBFJGnZgMhbINzmiQrN.jpg,23
137,7,蒜香辣味茄汁意面,番茄清爽的口感配上一点点辣味，意面嚼劲十足，开胃又可口。,https://static.ak2.co/recipes/January2018/WglL5XBMsmSHVNb1GRyR.jpg,53
138,7,意式红酒炖牛肉,这道红酒炖牛肉可以提前制作，头天晚上做好，作为第二天的晚餐，满满一锅端上餐桌瞬间变得暖洋洋的，用来宴客最适合了。,https://static.ak2.co/recipes/January2018/oFRsfmtQep740suOrqfG.jpg,53
143,7,虾仁跑蛋,虾仁与鸡蛋的营养都很高，两者放在一起烹炒，鸡蛋中有虾的鲜味，虾肉中有鸡蛋的香味，吃起来鲜嫩可口的。,https://static.ak2.co/recipes/January2018/w6AAeYArNA5mwyKACm7D.jpg,14
145,7,新雅烧烤味鸡翅,以新鲜鸡翅为制作主料，配以新雅大厨的独特调理，肉质鲜嫩、味道鲜美、鲜香浓郁。,https://static.ak2.co/recipes/February2018/mnW9u8cUGaYIy3GcVvbP.jpg,182
146,7,鱼香茄子,川菜系中具有代表性的鱼香味型的名菜，味厚重悠长，余味缭绕，回味无穷，故称余香。,https://static.ak2.co/recipes/February2018/5TqTuYYLLZHvzenZmZx8.jpg,14
148,7,油焖笋,竹笋在油焖的过程中很容易挂汁入味，长时间焖煮会破坏笋本身清甜的后味。,https://static.ak2.co/recipes/February2018/P2oq138ZJbHdVJ8UFgf8.jpg,14
150,7,新雅腊味煲仔饭,广东特产年货腊味煲仔饭腊香肠鸭腿，方便美味。,https://static.ak2.co/recipes/February2018/OjfaEc3TgjP4b64b7Npr.jpg,187
152,7,青椒土豆丝,土豆丝淘洗数遍是为了去掉淀粉，吃起来脆生生的感觉。清水浸泡是为了抗氧化，防止土豆变色儿。,https://static.ak2.co/recipes/February2018/DN25qTD3nivNnEQwpGGq.jpg,14
156,7,新雅八宝辣酱,新雅粤菜馆镇店菜肴，鲜嫩爽口，方便快捷。,https://static.ak2.co/recipes/February2018/asNw5IgjJHCADNSU1cZR.jpg,182
157,7,朗清白切肉,苏北散养黑毛猪，肉质肥而不腻，鲜香细嫩不柴。,https://static.ak2.co/recipes/February2018/uViZxW8UB9bXahBywTmA.jpg,264
158,7,腌笃鲜,口味咸鲜，汤白汁浓，肉质酥肥，笋清香脆嫩，鲜味浓厚。,https://static.ak2.co/recipes/February2018/hez0cYOFYfdFTvpnZdpt.jpg,14
161,7,新雅黑椒牛柳,黑椒味浓郁，肉质鲜嫩。,https://static.ak2.co/recipes/February2018/OVB9gleTSjfjp1Ly7W9m.jpg,182
164,7,日式鸡肉蔬菜咖喱,香浓的咖喱配上营养丰富的蔬菜和鲜嫩的鸡肉，色泽丰富口味佳。,https://static.ak2.co/recipes/March2018/048S45BuyF38FoMkUzoF.jpg,15
168,7,红烧荷包蛋,是一道方便制作的家常菜，开胃下饭。,https://static.ak2.co/recipes/February2018/BGFG1AIIqniCBNh2Y9tV.jpg,14
170,7,松饼 pancake（自制粉，不含焦糖制作）,本食谱中不含焦糖酱的制作，可提前另行预备。热乎乎的松饼，淋上焦糖酱，再配上香甜的水果，味觉和视觉上双重享受。,https://static.ak2.co/recipes/February2018/67rEbdWJOJ9mET7eVcoz.jpg,15
171,7,朗清松茸鹅油煎土豆片,朗清厨房独创运用云南高原松茸与白马湖大白鹅鹅油一起熬炼，香味奇特，鲜美无比，是烹饪的最佳拍档。,https://static.ak2.co/recipes/February2018/fqABEGZyw9wSnY9L8FCQ.jpg,264
